millis,stamp,datetime,accX,accY,accZ,gyroX,gyroY,gyroZ,compX,compY,compZ
616, 1709828046, "2024/3/7 16:14:6",  36,  -48,  1013,  1,  0,  0,  -27,  29,  -33
741, 1709828046, "2024/3/7 16:14:6",  8,  -24,  999,  -1,  -1,  0,  -29,  29,  -33
866, 1709828046, "2024/3/7 16:14:6",  18,  -7,  972,  1,  0,  -1,  -29,  30,  -34
991, 1709828047, "2024/3/7 16:14:7",  20,  -44,  1005,  0,  1,  0,  -27,  29,  -33
1116, 1709828047, "2024/3/7 16:14:7",  21,  5,  1004,  0,  -1,  -1,  -29,  30,  -34
1241, 1709828047, "2024/3/7 16:14:7",  6,  -39,  1002,  1,  0,  -1,  -28,  32,  -34
1366, 1709828047, "2024/3/7 16:14:7",  50,  -49,  961,  0,  -1,  0,  -29,  29,  -33
1491, 1709828047, "2024/3/7 16:14:7",  0,  -3,  1001,  1,  -1,  -1,  -28,  29,  -34
1616, 1709828047, "2024/3/7 16:14:7",  56,  -15,  1040,  -2,  -1,  0,  -28,  29,  -35
1741, 1709828047, "2024/3/7 16:14:7",  18,  -35,  980,  0,  1,  0,  -28,  29,  -33
1866, 1709828047, "2024/3/7 16:14:7",  47,  -21,  991,  2,  0,  -1,  -27,  30,  -33
1991, 1709828048, "2024/3/7 16:14:8",  46,  -34,  1008,  0,  -1,  -1,  -29,  28,  -31
2116, 1709828048, "2024/3/7 16:14:8",  41,  -39,  1012,  1,  -1,  -1,  -28,  29,  -33
2241, 1709828048, "2024/3/7 16:14:8",  29,  -27,  1004,  0,  0,  -1,  -29,  29,  -32
2366, 1709828048, "2024/3/7 16:14:8",  35,  -31,  988,  -1,  -1,  -1,  -29,  28,  -33
2491, 1709828048, "2024/3/7 16:14:8",  45,  -2,  984,  1,  0,  2,  -27,  29,  -34
2616, 1709828048, "2024/3/7 16:14:8",  36,  28,  984,  0,  2,  10,  -27,  29,  -33
2741, 1709828048, "2024/3/7 16:14:8",  11,  -54,  1017,  -1,  2,  -1,  -28,  29,  -33
