millis,stamp,datetime,accX,accY,accZ,gyroX,gyroY,gyroZ,compX,compY,compZ
745, 1709822485, "2024/3/7 14:41:25",  -134,  -246,  989,  6,  -12,  -6,  -35,  21,  -38
945, 1709822485, "2024/3/7 14:41:25",  -98,  -167,  928,  9,  6,  17,  -37,  18,  -36
1145, 1709822485, "2024/3/7 14:41:25",  67,  -60,  1022,  100,  -57,  -76,  -42,  11,  -36
1345, 1709822486, "2024/3/7 14:41:26",  68,  -1,  988,  -4,  3,  14,  -42,  9,  -35
1545, 1709822486, "2024/3/7 14:41:26",  103,  -79,  1011,  -16,  -1,  24,  -43,  13,  -35
1745, 1709822486, "2024/3/7 14:41:26",  51,  -58,  969,  21,  -31,  -64,  -42,  15,  -33
1945, 1709822486, "2024/3/7 14:41:26",  85,  -136,  968,  -9,  -6,  19,  -43,  15,  -34
2145, 1709822486, "2024/3/7 14:41:26",  68,  -191,  986,  11,  -5,  9,  -41,  17,  -34
2345, 1709822487, "2024/3/7 14:41:27",  33,  -134,  979,  -4,  -9,  0,  -42,  18,  -34
2545, 1709822487, "2024/3/7 14:41:27",  63,  -177,  965,  2,  10,  -7,  -41,  17,  -35
2745, 1709822487, "2024/3/7 14:41:27",  41,  -156,  977,  -1,  -9,  -1,  -42,  18,  -34
2945, 1709822487, "2024/3/7 14:41:27",  -34,  -182,  964,  12,  22,  -14,  -41,  18,  -35
3145, 1709822487, "2024/3/7 14:41:27",  36,  -242,  955,  -9,  6,  -10,  -40,  18,  -33
3345, 1709822488, "2024/3/7 14:41:28",  86,  -243,  981,  -8,  -15,  3,  -41,  18,  -34
3545, 1709822488, "2024/3/7 14:41:28",  106,  -265,  976,  2,  -1,  -4,  -42,  20,  -33
3745, 1709822488, "2024/3/7 14:41:28",  62,  -246,  973,  6,  2,  -4,  -42,  20,  -33
3945, 1709822488, "2024/3/7 14:41:28",  77,  -241,  959,  2,  -6,  0,  -41,  18,  -34
4145, 1709822488, "2024/3/7 14:41:28",  81,  -238,  928,  11,  6,  0,  -43,  20,  -32
4345, 1709822489, "2024/3/7 14:41:29",  59,  -282,  982,  23,  40,  -4,  -41,  20,  -34
4545, 1709822489, "2024/3/7 14:41:29",  -10,  -198,  907,  20,  7,  34,  -39,  20,  -36
4745, 1709822489, "2024/3/7 14:41:29",  14,  -111,  1019,  15,  -11,  34,  -36,  19,  -34
4945, 1709822489, "2024/3/7 14:41:29",  78,  -101,  890,  -6,  -27,  35,  -38,  21,  -36
5145, 1709822489, "2024/3/7 14:41:29",  -172,  -170,  1122,  -37,  20,  -19,  -38,  24,  -34
5345, 1709822490, "2024/3/7 14:41:30",  34,  -329,  925,  -7,  -26,  -7,  -40,  26,  -30
5545, 1709822490, "2024/3/7 14:41:30",  84,  -221,  904,  19,  16,  -24,  -39,  22,  -33
5745, 1709822490, "2024/3/7 14:41:30",  -64,  -218,  1016,  8,  21,  -54,  -41,  21,  -35
5945, 1709822490, "2024/3/7 14:41:30",  -78,  -124,  1063,  -34,  -1,  -17,  -41,  18,  -34
6145, 1709822490, "2024/3/7 14:41:30",  237,  -246,  1326,  -31,  -39,  -49,  -43,  15,  -31
6345, 1709822491, "2024/3/7 14:41:31",  144,  -165,  965,  2,  76,  34,  -44,  10,  -35
6545, 1709822491, "2024/3/7 14:41:31",  -5,  -72,  1009,  14,  -22,  84,  -41,  12,  -36
6745, 1709822491, "2024/3/7 14:41:31",  23,  -78,  1000,  -14,  -19,  61,  -38,  18,  -37
6945, 1709822491, "2024/3/7 14:41:31",  -35,  -129,  1026,  -26,  -74,  45,  -37,  24,  -33
7145, 1709822491, "2024/3/7 14:41:31",  122,  -141,  986,  29,  -33,  24,  -39,  26,  -30
7345, 1709822492, "2024/3/7 14:41:32",  115,  -122,  930,  -22,  -2,  12,  -39,  27,  -31
7545, 1709822492, "2024/3/7 14:41:32",  135,  -59,  962,  23,  -3,  19,  -36,  25,  -32
7745, 1709822492, "2024/3/7 14:41:32",  123,  -71,  1006,  47,  31,  83,  -33,  28,  -34
7945, 1709822492, "2024/3/7 14:41:32",  -37,  100,  1002,  42,  65,  95,  -26,  27,  -38
8145, 1709822492, "2024/3/7 14:41:32",  63,  93,  974,  -17,  4,  50,  -20,  25,  -42
8345, 1709822493, "2024/3/7 14:41:33",  43,  135,  961,  17,  9,  17,  -21,  28,  -41
8545, 1709822493, "2024/3/7 14:41:33",  -47,  169,  982,  0,  9,  1,  -18,  25,  -42
8745, 1709822493, "2024/3/7 14:41:33",  17,  61,  1197,  -41,  -33,  -26,  -17,  24,  -42
8945, 1709822493, "2024/3/7 14:41:33",  52,  193,  1040,  15,  -7,  13,  -19,  26,  -42
9145, 1709822493, "2024/3/7 14:41:33",  -41,  133,  1086,  -13,  -3,  -10,  -20,  26,  -41
9345, 1709822494, "2024/3/7 14:41:34",  12,  83,  926,  -26,  0,  2,  -20,  27,  -40
9545, 1709822494, "2024/3/7 14:41:34",  18,  -5,  956,  0,  0,  -1,  -17,  31,  -37
9745, 1709822494, "2024/3/7 14:41:34",  -4,  23,  1006,  0,  0,  0,  -21,  33,  -38
9945, 1709822494, "2024/3/7 14:41:34",  6,  17,  1004,  0,  0,  0,  -18,  32,  -38
10145, 1709822494, "2024/3/7 14:41:34",  -1,  4,  1035,  3,  1,  0,  -19,  31,  -38
10345, 1709822495, "2024/3/7 14:41:35",  6,  7,  999,  0,  0,  0,  -20,  32,  -39
10545, 1709822495, "2024/3/7 14:41:35",  1,  10,  999,  0,  0,  0,  -19,  33,  -37
10745, 1709822495, "2024/3/7 14:41:35",  -4,  14,  996,  0,  0,  0,  -19,  32,  -37
10945, 1709822495, "2024/3/7 14:41:35",  -3,  4,  1011,  -1,  -2,  0,  -20,  32,  -39
11145, 1709822495, "2024/3/7 14:41:35",  -1199,  -377,  1558,  -17,  -10,  -12,  -21,  32,  -38
11345, 1709822496, "2024/3/7 14:41:36",  23,  -6,  1050,  1,  3,  0,  -21,  31,  -36
11545, 1709822496, "2024/3/7 14:41:36",  11,  -31,  1014,  1,  1,  18,  -22,  32,  -38
11745, 1709822496, "2024/3/7 14:41:36",  23,  28,  1008,  0,  0,  0,  -20,  30,  -38
11945, 1709822496, "2024/3/7 14:41:36",  -6,  10,  1025,  -1,  0,  0,  -21,  31,  -37
12145, 1709822496, "2024/3/7 14:41:36",  -15,  9,  980,  0,  -1,  -1,  -19,  31,  -35
12345, 1709822497, "2024/3/7 14:41:37",  101,  26,  1087,  0,  4,  -5,  -20,  31,  -38
12545, 1709822497, "2024/3/7 14:41:37",  -15,  33,  1004,  0,  0,  0,  -21,  32,  -37
12745, 1709822497, "2024/3/7 14:41:37",  17,  28,  984,  0,  0,  -1,  -20,  33,  -37
12945, 1709822497, "2024/3/7 14:41:37",  16,  19,  999,  0,  -1,  0,  -19,  32,  -37
13145, 1709822497, "2024/3/7 14:41:37",  -1,  8,  976,  1,  -1,  -1,  -21,  32,  -37
13345, 1709822498, "2024/3/7 14:41:38",  3,  2,  1003,  0,  0,  0,  -19,  31,  -38
13545, 1709822498, "2024/3/7 14:41:38",  8,  11,  1002,  0,  0,  0,  -19,  32,  -39
13745, 1709822498, "2024/3/7 14:41:38",  10,  31,  995,  2,  1,  -1,  -20,  32,  -38
13945, 1709822498, "2024/3/7 14:41:38",  15,  3,  961,  0,  -1,  0,  -20,  31,  -39
14145, 1709822498, "2024/3/7 14:41:38",  3,  14,  997,  0,  -2,  -1,  -19,  32,  -38
14345, 1709822499, "2024/3/7 14:41:39",  24,  8,  1005,  0,  0,  0,  -19,  32,  -37
14545, 1709822499, "2024/3/7 14:41:39",  9,  10,  992,  0,  0,  0,  -20,  32,  -37
14745, 1709822499, "2024/3/7 14:41:39",  34,  21,  1002,  -2,  2,  0,  -21,  33,  -38
14945, 1709822499, "2024/3/7 14:41:39",  26,  24,  986,  0,  0,  -1,  -21,  31,  -37
15145, 1709822499, "2024/3/7 14:41:39",  -18,  23,  991,  0,  -1,  0,  -20,  30,  -38
15345, 1709822500, "2024/3/7 14:41:40",  -29,  -8,  963,  2,  0,  0,  -23,  33,  -37
15545, 1709822500, "2024/3/7 14:41:40",  4,  13,  1006,  0,  1,  0,  -21,  33,  -37
15745, 1709822500, "2024/3/7 14:41:40",  28,  0,  1011,  0,  0,  0,  -20,  32,  -37
15945, 1709822500, "2024/3/7 14:41:40",  15,  5,  993,  0,  -1,  -1,  -22,  32,  -38
16145, 1709822500, "2024/3/7 14:41:40",  1,  9,  1000,  0,  -1,  0,  -21,  32,  -38
16345, 1709822501, "2024/3/7 14:41:41",  -1,  32,  1034,  0,  -1,  0,  -20,  33,  -38
16545, 1709822501, "2024/3/7 14:41:41",  -20,  8,  990,  0,  -1,  0,  -20,  32,  -38
16745, 1709822501, "2024/3/7 14:41:41",  -29,  11,  985,  0,  0,  0,  -22,  31,  -37
16945, 1709822501, "2024/3/7 14:41:41",  2,  6,  1000,  0,  -2,  -1,  -20,  32,  -37
17145, 1709822501, "2024/3/7 14:41:41",  -21,  36,  989,  0,  -2,  0,  -19,  31,  -37
17345, 1709822502, "2024/3/7 14:41:42",  -2,  -5,  1016,  0,  0,  4,  -20,  31,  -37
17545, 1709822502, "2024/3/7 14:41:42",  5,  -8,  1014,  1,  1,  0,  -20,  32,  -37
17745, 1709822502, "2024/3/7 14:41:42",  10,  8,  987,  0,  0,  0,  -19,  34,  -37
17945, 1709822502, "2024/3/7 14:41:42",  32,  -450,  699,  -1,  -10,  -33,  -20,  32,  -37
18145, 1709822502, "2024/3/7 14:41:42",  11,  8,  959,  1,  3,  -1,  -19,  33,  -37
18345, 1709822503, "2024/3/7 14:41:43",  41,  8,  974,  0,  0,  -1,  -19,  33,  -38
18545, 1709822503, "2024/3/7 14:41:43",  7,  8,  1024,  0,  -1,  -1,  -20,  31,  -37
18745, 1709822503, "2024/3/7 14:41:43",  -21,  18,  1049,  0,  0,  0,  -21,  32,  -37
18945, 1709822503, "2024/3/7 14:41:43",  -11,  8,  1001,  0,  0,  0,  -21,  31,  -36
19145, 1709822503, "2024/3/7 14:41:43",  12,  12,  977,  0,  0,  0,  -22,  32,  -38
19345, 1709822504, "2024/3/7 14:41:44",  10,  5,  986,  0,  0,  0,  -21,  32,  -37
19545, 1709822504, "2024/3/7 14:41:44",  4,  9,  998,  0,  -1,  -1,  -21,  31,  -37
19745, 1709822504, "2024/3/7 14:41:44",  0,  10,  1001,  0,  0,  -1,  -22,  33,  -37
19945, 1709822504, "2024/3/7 14:41:44",  0,  7,  1007,  0,  0,  -1,  -22,  30,  -40
20145, 1709822504, "2024/3/7 14:41:44",  6,  9,  999,  0,  0,  0,  -23,  31,  -39
20345, 1709822505, "2024/3/7 14:41:45",  8,  11,  1002,  0,  0,  -1,  -22,  33,  -38
20545, 1709822505, "2024/3/7 14:41:45",  4,  -2,  1013,  0,  0,  0,  -25,  32,  -41
20745, 1709822505, "2024/3/7 14:41:45",  2,  8,  992,  0,  0,  0,  -26,  32,  -44
20945, 1709822505, "2024/3/7 14:41:45",  2,  7,  999,  0,  0,  -1,  -28,  33,  -48
21145, 1709822505, "2024/3/7 14:41:45",  2,  5,  1003,  0,  -1,  0,  -32,  31,  -51
21345, 1709822506, "2024/3/7 14:41:46",  8,  11,  997,  0,  0,  -1,  -39,  32,  -59
21545, 1709822506, "2024/3/7 14:41:46",  1,  8,  994,  0,  0,  0,  -43,  32,  -61
21745, 1709822506, "2024/3/7 14:41:46",  26,  -4,  1023,  -1,  -2,  0,  -47,  31,  -60
21945, 1709822506, "2024/3/7 14:41:46",  -30,  6,  999,  0,  -2,  0,  -66,  32,  -72
22145, 1709822506, "2024/3/7 14:41:46",  -32,  20,  1007,  0,  0,  -1,  -112,  16,  -58
22345, 1709822507, "2024/3/7 14:41:47",  -18,  55,  966,  0,  -1,  -1,  -137,  24,  -39
22545, 1709822507, "2024/3/7 14:41:47",  -31,  23,  1100,  -2,  0,  0,  -139,  18,  -25
22745, 1709822507, "2024/3/7 14:41:47",  -3,  29,  982,  0,  -2,  0,  -128,  23,  -24
22945, 1709822507, "2024/3/7 14:41:47",  41,  5,  925,  -1,  -1,  -3,  -141,  27,  -15
23145, 1709822507, "2024/3/7 14:41:47",  5,  11,  1024,  0,  -3,  -1,  -137,  28,  -10
23345, 1709822508, "2024/3/7 14:41:48",  -37,  -14,  985,  -2,  -2,  5,  -142,  26,  -7
23545, 1709822508, "2024/3/7 14:41:48",  24,  42,  1026,  -2,  3,  0,  -143,  26,  -5
23745, 1709822508, "2024/3/7 14:41:48",  -15,  20,  995,  0,  -1,  0,  -142,  26,  -7
23945, 1709822508, "2024/3/7 14:41:48",  0,  16,  985,  0,  1,  -1,  -139,  27,  -6
24145, 1709822508, "2024/3/7 14:41:48",  17,  0,  996,  0,  1,  0,  -137,  26,  -2
24345, 1709822509, "2024/3/7 14:41:49",  68,  0,  981,  -1,  0,  -1,  -137,  28,  -3
24545, 1709822509, "2024/3/7 14:41:49",  14,  -8,  962,  -3,  -3,  0,  -137,  30,  -6
24745, 1709822509, "2024/3/7 14:41:49",  -75,  10,  976,  0,  -3,  0,  -139,  29,  -6
24945, 1709822509, "2024/3/7 14:41:49",  -70,  -5,  1018,  -2,  -2,  0,  -140,  25,  -2
25145, 1709822509, "2024/3/7 14:41:49",  -64,  7,  976,  1,  0,  -1,  -137,  28,  0
25345, 1709822510, "2024/3/7 14:41:50",  -54,  21,  1011,  1,  1,  0,  -138,  29,  0
25545, 1709822510, "2024/3/7 14:41:50",  -27,  26,  981,  0,  0,  -1,  -140,  29,  -1
25745, 1709822510, "2024/3/7 14:41:50",  0,  34,  985,  2,  5,  -1,  -142,  27,  0
25945, 1709822510, "2024/3/7 14:41:50",  1,  12,  1021,  1,  0,  -1,  -138,  27,  1
26145, 1709822510, "2024/3/7 14:41:50",  17,  10,  1028,  0,  0,  0,  -139,  28,  1
26345, 1709822511, "2024/3/7 14:41:51",  16,  10,  1006,  0,  0,  -1,  -136,  30,  0
26545, 1709822511, "2024/3/7 14:41:51",  5,  16,  1002,  0,  0,  0,  -136,  28,  1
26745, 1709822511, "2024/3/7 14:41:51",  11,  4,  994,  0,  0,  -1,  -139,  28,  1
26945, 1709822511, "2024/3/7 14:41:51",  26,  27,  994,  1,  0,  0,  -140,  29,  1
27145, 1709822511, "2024/3/7 14:41:51",  13,  17,  984,  -1,  -1,  0,  -144,  27,  2
27345, 1709822512, "2024/3/7 14:41:52",  -21,  25,  1004,  -1,  -2,  0,  -143,  24,  4
27545, 1709822512, "2024/3/7 14:41:52",  -30,  10,  1000,  -1,  -1,  0,  -143,  27,  10
27745, 1709822512, "2024/3/7 14:41:52",  -50,  -35,  1000,  1,  4,  0,  -142,  28,  11
27945, 1709822512, "2024/3/7 14:41:52",  -5,  -42,  1011,  0,  2,  0,  -145,  30,  7
28145, 1709822512, "2024/3/7 14:41:52",  20,  -19,  1012,  2,  2,  0,  -144,  29,  4
28345, 1709822513, "2024/3/7 14:41:53",  -35,  1,  1043,  1,  2,  -1,  -141,  26,  7
28545, 1709822513, "2024/3/7 14:41:53",  62,  11,  1054,  1,  4,  0,  -136,  29,  7
28745, 1709822513, "2024/3/7 14:41:53",  109,  11,  1012,  3,  4,  -3,  -138,  29,  7
28945, 1709822513, "2024/3/7 14:41:53",  55,  19,  971,  0,  0,  0,  -140,  29,  6
29145, 1709822513, "2024/3/7 14:41:53",  -7,  2,  1007,  1,  1,  -1,  -139,  28,  6
29345, 1709822514, "2024/3/7 14:41:54",  -78,  22,  1035,  1,  1,  -1,  -139,  28,  6
29545, 1709822514, "2024/3/7 14:41:54",  -22,  55,  972,  1,  1,  0,  -139,  27,  5
29745, 1709822514, "2024/3/7 14:41:54",  -33,  69,  963,  0,  -2,  0,  -138,  28,  5
29945, 1709822514, "2024/3/7 14:41:54",  6,  39,  1034,  -1,  2,  0,  -54,  37,  -59
30145, 1709822514, "2024/3/7 14:41:54",  41,  14,  1004,  0,  0,  0,  -21,  33,  -39
30345, 1709822515, "2024/3/7 14:41:55",  13,  10,  997,  0,  -1,  -1,  -20,  32,  -37
30545, 1709822515, "2024/3/7 14:41:55",  -15,  15,  999,  0,  -1,  0,  -22,  33,  -39
30745, 1709822515, "2024/3/7 14:41:55",  -15,  5,  997,  0,  0,  0,  -22,  33,  -41
30945, 1709822515, "2024/3/7 14:41:55",  -3,  12,  1000,  0,  0,  0,  -24,  30,  -39
31145, 1709822515, "2024/3/7 14:41:55",  -30,  -22,  990,  2,  0,  0,  -21,  32,  -35
31345, 1709822516, "2024/3/7 14:41:56",  -45,  40,  991,  0,  3,  -1,  -21,  32,  -36
31545, 1709822516, "2024/3/7 14:41:56",  -34,  30,  1031,  0,  -1,  0,  -20,  32,  -36
31745, 1709822516, "2024/3/7 14:41:56",  38,  8,  1006,  1,  2,  1,  -20,  31,  -37
31945, 1709822516, "2024/3/7 14:41:56",  28,  3,  1041,  1,  0,  -1,  -20,  33,  -34
32145, 1709822516, "2024/3/7 14:41:56",  -2,  14,  1000,  1,  1,  0,  -21,  34,  -34
32345, 1709822517, "2024/3/7 14:41:57",  -2,  30,  1011,  2,  0,  0,  -22,  34,  -36
32545, 1709822517, "2024/3/7 14:41:57",  -26,  18,  989,  0,  -1,  -1,  -19,  33,  -36
32745, 1709822517, "2024/3/7 14:41:57",  0,  19,  1002,  -1,  -2,  0,  -21,  33,  -36
32945, 1709822517, "2024/3/7 14:41:57",  -16,  35,  946,  0,  -3,  -1,  -20,  34,  -34
33145, 1709822517, "2024/3/7 14:41:57",  16,  28,  980,  -2,  -1,  0,  -19,  33,  -35
33345, 1709822518, "2024/3/7 14:41:58",  -21,  13,  991,  -1,  -1,  0,  -19,  32,  -35
33545, 1709822518, "2024/3/7 14:41:58",  -17,  16,  1005,  3,  1,  0,  -22,  31,  -37
33745, 1709822518, "2024/3/7 14:41:58",  8,  30,  1001,  1,  2,  -1,  -22,  32,  -34
33945, 1709822518, "2024/3/7 14:41:58",  30,  24,  1000,  0,  0,  0,  -23,  30,  -37
34145, 1709822518, "2024/3/7 14:41:58",  5,  26,  996,  0,  -1,  -1,  -22,  31,  -35
34345, 1709822519, "2024/3/7 14:41:59",  -93,  26,  916,  3,  2,  0,  -23,  31,  -33
34545, 1709822519, "2024/3/7 14:41:59",  -14,  59,  919,  0,  2,  -1,  -21,  31,  -31
34745, 1709822519, "2024/3/7 14:41:59",  -18,  28,  986,  0,  -1,  0,  -24,  32,  -32
34945, 1709822519, "2024/3/7 14:41:59",  4,  16,  1006,  0,  0,  -1,  -24,  33,  -30
35145, 1709822519, "2024/3/7 14:41:59",  33,  -1,  1021,  -1,  0,  -1,  -23,  33,  -31
35345, 1709822520, "2024/3/7 14:42:0",  14,  -12,  1004,  -1,  2,  0,  -22,  33,  -31
35545, 1709822520, "2024/3/7 14:42:0",  2,  8,  1001,  -1,  1,  -1,  -23,  34,  -30
35745, 1709822520, "2024/3/7 14:42:0",  31,  -15,  1019,  0,  0,  0,  -23,  31,  -30
35945, 1709822520, "2024/3/7 14:42:0",  13,  -1,  1022,  2,  0,  0,  -25,  32,  -30
36145, 1709822520, "2024/3/7 14:42:0",  -28,  35,  1000,  1,  -3,  -1,  -23,  33,  -30
36345, 1709822521, "2024/3/7 14:42:1",  -39,  -17,  1012,  -1,  -2,  0,  -25,  34,  -29
36545, 1709822521, "2024/3/7 14:42:1",  -3,  13,  981,  0,  -1,  0,  -24,  33,  -30
36745, 1709822521, "2024/3/7 14:42:1",  -60,  -181,  712,  1,  -12,  0,  -24,  32,  -31
36945, 1709822521, "2024/3/7 14:42:1",  39,  -3,  994,  1,  0,  -2,  -24,  32,  -31
37145, 1709822521, "2024/3/7 14:42:1",  -7,  -1,  998,  2,  3,  0,  -23,  33,  -30
37345, 1709822522, "2024/3/7 14:42:2",  22,  14,  981,  1,  0,  0,  -23,  31,  -34
37545, 1709822522, "2024/3/7 14:42:2",  -31,  -9,  1003,  -1,  -1,  -1,  -21,  32,  -36
37745, 1709822522, "2024/3/7 14:42:2",  -34,  -2,  1014,  0,  1,  0,  -23,  33,  -35
37945, 1709822522, "2024/3/7 14:42:2",  1,  33,  1024,  1,  1,  -1,  -21,  32,  -36
38145, 1709822522, "2024/3/7 14:42:2",  -32,  -77,  1063,  -5,  -2,  -1,  -19,  33,  -35
38345, 1709822523, "2024/3/7 14:42:3",  1,  58,  1112,  1,  2,  -1,  -21,  31,  -36
38545, 1709822523, "2024/3/7 14:42:3",  -9,  -10,  985,  0,  -2,  0,  -20,  32,  -36
38745, 1709822523, "2024/3/7 14:42:3",  34,  20,  1003,  -1,  0,  0,  -21,  33,  -35
38945, 1709822523, "2024/3/7 14:42:3",  13,  -19,  1008,  0,  -2,  3,  -21,  34,  -35
39145, 1709822523, "2024/3/7 14:42:3",  9,  20,  1006,  0,  0,  0,  -19,  32,  -36
39345, 1709822524, "2024/3/7 14:42:4",  14,  34,  999,  0,  -1,  0,  -19,  32,  -36
39545, 1709822524, "2024/3/7 14:42:4",  8,  51,  985,  0,  -1,  1,  -19,  32,  -34
39745, 1709822524, "2024/3/7 14:42:4",  -13,  13,  997,  0,  0,  0,  -20,  31,  -36
39945, 1709822524, "2024/3/7 14:42:4",  -11,  0,  998,  0,  0,  0,  -19,  34,  -36
40145, 1709822524, "2024/3/7 14:42:4",  14,  21,  947,  8,  3,  -4,  -20,  33,  -36
40345, 1709822525, "2024/3/7 14:42:5",  13,  1,  982,  0,  1,  -1,  -19,  31,  -36
40545, 1709822525, "2024/3/7 14:42:5",  17,  3,  993,  0,  1,  -1,  -26,  29,  -41
40745, 1709822525, "2024/3/7 14:42:5",  4,  -14,  1008,  0,  0,  0,  -36,  25,  -62
40945, 1709822525, "2024/3/7 14:42:5",  -18,  12,  1003,  1,  -1,  -1,  -103,  37,  -65
41145, 1709822525, "2024/3/7 14:42:5",  -27,  18,  999,  0,  -1,  0,  -128,  34,  -21
41345, 1709822526, "2024/3/7 14:42:6",  9,  23,  980,  -1,  1,  0,  -124,  38,  -3
41545, 1709822526, "2024/3/7 14:42:6",  1,  20,  1010,  0,  0,  -1,  -155,  38,  -4
41745, 1709822526, "2024/3/7 14:42:6",  -16,  27,  1009,  0,  0,  0,  -130,  31,  -9
41945, 1709822526, "2024/3/7 14:42:6",  -34,  3,  958,  0,  -1,  -1,  -123,  37,  -10
42145, 1709822526, "2024/3/7 14:42:6",  2,  3,  1009,  1,  -1,  0,  -139,  41,  -4
42345, 1709822527, "2024/3/7 14:42:7",  -8,  7,  991,  0,  -1,  0,  -147,  40,  -7
42545, 1709822527, "2024/3/7 14:42:7",  4,  23,  1000,  0,  1,  0,  -146,  26,  -8
42745, 1709822527, "2024/3/7 14:42:7",  -4,  21,  1001,  0,  0,  0,  -132,  29,  -19
42945, 1709822527, "2024/3/7 14:42:7",  -32,  6,  979,  1,  1,  -1,  -133,  30,  -10
43145, 1709822527, "2024/3/7 14:42:7",  0,  21,  993,  0,  -1,  0,  -134,  32,  -10
43345, 1709822528, "2024/3/7 14:42:8",  9,  16,  979,  0,  0,  0,  -133,  29,  -9
43545, 1709822528, "2024/3/7 14:42:8",  0,  6,  977,  0,  0,  -1,  -132,  28,  -9
43745, 1709822528, "2024/3/7 14:42:8",  2,  11,  998,  0,  0,  -1,  -129,  28,  -12
43945, 1709822528, "2024/3/7 14:42:8",  -8,  6,  990,  -1,  -1,  0,  -133,  26,  -11
44145, 1709822528, "2024/3/7 14:42:8",  -35,  36,  1006,  -2,  1,  -1,  -136,  28,  0
44345, 1709822529, "2024/3/7 14:42:9",  -21,  23,  1002,  1,  0,  0,  -138,  28,  2
44545, 1709822529, "2024/3/7 14:42:9",  -59,  12,  1016,  -1,  -2,  -4,  -135,  26,  0
44745, 1709822529, "2024/3/7 14:42:9",  -9,  20,  943,  0,  -2,  0,  -134,  28,  2
44945, 1709822529, "2024/3/7 14:42:9",  -84,  118,  979,  -2,  1,  -1,  -135,  28,  2
45145, 1709822529, "2024/3/7 14:42:9",  -44,  -49,  999,  0,  -2,  1,  -133,  28,  1
45345, 1709822530, "2024/3/7 14:42:10",  43,  52,  991,  0,  -2,  0,  -136,  28,  0
45545, 1709822530, "2024/3/7 14:42:10",  -2,  -16,  979,  -1,  3,  0,  -133,  28,  1
45745, 1709822530, "2024/3/7 14:42:10",  17,  -8,  987,  0,  1,  0,  -134,  29,  1
45945, 1709822530, "2024/3/7 14:42:10",  11,  50,  998,  0,  -2,  0,  -133,  29,  0
