millis,stamp,datetime,accX,accY,accZ,gyroX,gyroY,gyroZ,compX,compY,compZ
737, 1709825171, "2024/3/7 15:26:11",  -6,  42,  995,  0,  0,  0,  -1,  29,  -50
937, 1709825171, "2024/3/7 15:26:11",  -5,  45,  1000,  0,  0,  0,  0,  29,  -49
1137, 1709825171, "2024/3/7 15:26:11",  -9,  47,  995,  0,  0,  -1,  -2,  31,  -50
1337, 1709825171, "2024/3/7 15:26:11",  -11,  41,  995,  0,  0,  0,  0,  30,  -50
1537, 1709825172, "2024/3/7 15:26:12",  -7,  43,  999,  0,  0,  -1,  0,  29,  -49
1737, 1709825172, "2024/3/7 15:26:12",  -5,  47,  997,  0,  0,  0,  1,  29,  -51
1937, 1709825172, "2024/3/7 15:26:12",  -9,  43,  999,  0,  0,  0,  1,  30,  -49
2137, 1709825172, "2024/3/7 15:26:12",  -2,  49,  1000,  0,  0,  -1,  0,  29,  -49
2337, 1709825172, "2024/3/7 15:26:12",  -4,  44,  997,  0,  0,  -1,  -2,  31,  -49
2537, 1709825173, "2024/3/7 15:26:13",  -6,  37,  1000,  0,  0,  -1,  -2,  29,  -49
2737, 1709825173, "2024/3/7 15:26:13",  -8,  41,  995,  0,  0,  0,  -1,  31,  -49
2937, 1709825173, "2024/3/7 15:26:13",  -4,  41,  998,  0,  0,  0,  0,  30,  -50
3137, 1709825173, "2024/3/7 15:26:13",  -11,  44,  1002,  0,  0,  -1,  -1,  31,  -48
3337, 1709825173, "2024/3/7 15:26:13",  -4,  41,  994,  0,  -1,  -1,  -2,  31,  -49
3537, 1709825174, "2024/3/7 15:26:14",  -4,  44,  999,  0,  0,  0,  -2,  29,  -49
3737, 1709825174, "2024/3/7 15:26:14",  -13,  41,  1001,  0,  -1,  -1,  -2,  30,  -49
3937, 1709825174, "2024/3/7 15:26:14",  -6,  41,  1000,  0,  0,  -1,  -1,  30,  -50
4137, 1709825174, "2024/3/7 15:26:14",  -6,  41,  997,  0,  0,  -1,  -2,  30,  -50
4337, 1709825174, "2024/3/7 15:26:14",  -10,  41,  995,  0,  0,  0,  0,  30,  -49
4537, 1709825175, "2024/3/7 15:26:15",  -11,  39,  1001,  0,  0,  -1,  0,  30,  -50
4737, 1709825175, "2024/3/7 15:26:15",  -6,  39,  994,  0,  -1,  0,  0,  28,  -49
4937, 1709825175, "2024/3/7 15:26:15",  -9,  41,  999,  0,  0,  0,  -1,  29,  -48
5137, 1709825175, "2024/3/7 15:26:15",  -3,  37,  998,  0,  0,  0,  -1,  30,  -49
5337, 1709825175, "2024/3/7 15:26:15",  -8,  43,  992,  0,  0,  -1,  -1,  29,  -49
5537, 1709825176, "2024/3/7 15:26:16",  -12,  41,  996,  0,  0,  0,  -1,  30,  -48
5737, 1709825176, "2024/3/7 15:26:16",  -8,  40,  1000,  0,  0,  0,  -2,  32,  -49
5937, 1709825176, "2024/3/7 15:26:16",  -6,  41,  988,  0,  0,  -1,  -1,  30,  -49
6137, 1709825176, "2024/3/7 15:26:16",  -11,  45,  994,  0,  0,  0,  -1,  30,  -50
6337, 1709825176, "2024/3/7 15:26:16",  -3,  43,  1007,  0,  0,  -1,  -1,  30,  -51
6537, 1709825177, "2024/3/7 15:26:17",  -7,  43,  995,  0,  0,  0,  0,  30,  -49
6737, 1709825177, "2024/3/7 15:26:17",  -8,  43,  999,  0,  0,  -1,  0,  30,  -49
6937, 1709825177, "2024/3/7 15:26:17",  -12,  47,  1006,  0,  0,  -1,  -2,  29,  -49
7137, 1709825177, "2024/3/7 15:26:17",  -11,  43,  1000,  0,  0,  0,  0,  31,  -50
7337, 1709825177, "2024/3/7 15:26:17",  -8,  37,  998,  0,  0,  -1,  0,  30,  -49
7537, 1709825178, "2024/3/7 15:26:18",  -7,  43,  998,  0,  0,  0,  -1,  29,  -50
7737, 1709825178, "2024/3/7 15:26:18",  -1,  41,  1000,  0,  0,  -1,  -1,  28,  -48
7937, 1709825178, "2024/3/7 15:26:18",  -4,  44,  996,  0,  0,  0,  0,  29,  -49
8137, 1709825178, "2024/3/7 15:26:18",  -8,  42,  1001,  0,  0,  0,  -1,  30,  -50
8337, 1709825178, "2024/3/7 15:26:18",  -3,  41,  1000,  0,  0,  -1,  1,  31,  -49
8537, 1709825179, "2024/3/7 15:26:19",  -9,  37,  1000,  0,  -1,  0,  -1,  29,  -49
8737, 1709825179, "2024/3/7 15:26:19",  -9,  43,  1000,  0,  0,  -1,  -1,  31,  -49
8937, 1709825179, "2024/3/7 15:26:19",  -2,  41,  997,  0,  0,  -1,  -1,  30,  -49
9137, 1709825179, "2024/3/7 15:26:19",  -7,  44,  998,  0,  0,  0,  0,  30,  -50
9337, 1709825179, "2024/3/7 15:26:19",  -9,  42,  1002,  0,  0,  0,  -1,  30,  -50
9537, 1709825180, "2024/3/7 15:26:20",  -7,  41,  996,  0,  0,  -1,  -1,  30,  -48
9737, 1709825180, "2024/3/7 15:26:20",  -6,  39,  996,  0,  0,  0,  0,  31,  -48
9937, 1709825180, "2024/3/7 15:26:20",  -10,  42,  1009,  0,  -1,  -1,  -1,  30,  -49
10137, 1709825180, "2024/3/7 15:26:20",  -11,  48,  1008,  0,  0,  0,  1,  30,  -48
millis,stamp,datetime,accX,accY,accZ,gyroX,gyroY,gyroZ,compX,compY,compZ
163, 1709825195, "2024/3/7 15:26:35",  -12,  46,  993,  0,  0,  0,  -2,  30,  -49
288, 1709825195, "2024/3/7 15:26:35",  -8,  44,  994,  0,  0,  -1,  -2,  29,  -50
413, 1709825195, "2024/3/7 15:26:35",  -15,  48,  999,  0,  0,  0,  0,  30,  -50
