millis,stamp,datetime,accX,accY,accZ,gyroX,gyroY,gyroZ,compX,compY,compZ
605, 1709826297, "2024/3/7 15:44:57",  88,  47,  973,  24,  -29,  -19,  -20,  -16,  -45
730, 1709826297, "2024/3/7 15:44:57",  94,  30,  979,  -6,  8,  -18,  -21,  -17,  -45
855, 1709826298, "2024/3/7 15:44:58",  2,  -45,  924,  -30,  21,  0,  -20,  -16,  -44
980, 1709826298, "2024/3/7 15:44:58",  -27,  -99,  909,  -27,  14,  3,  -18,  -14,  -47
1105, 1709826298, "2024/3/7 15:44:58",  -41,  -162,  887,  19,  7,  -1,  -18,  -12,  -44
1230, 1709826298, "2024/3/7 15:44:58",  -40,  18,  1001,  -12,  28,  6,  -16,  -13,  -46
1355, 1709826298, "2024/3/7 15:44:58",  -117,  -106,  1069,  -12,  -1,  2,  -19,  -13,  -48
1480, 1709826298, "2024/3/7 15:44:58",  -126,  -40,  1020,  1,  39,  8,  -15,  -12,  -46
1605, 1709826298, "2024/3/7 15:44:58",  -148,  -80,  958,  4,  37,  -2,  -12,  -14,  -45
1730, 1709826298, "2024/3/7 15:44:58",  -175,  -25,  930,  34,  -10,  9,  -10,  -16,  -44
1855, 1709826299, "2024/3/7 15:44:59",  -151,  -6,  980,  13,  -18,  10,  -13,  -19,  -44
1980, 1709826299, "2024/3/7 15:44:59",  -131,  64,  1013,  13,  -15,  11,  -15,  -19,  -43
2105, 1709826299, "2024/3/7 15:44:59",  -94,  144,  1002,  24,  -13,  11,  -18,  -21,  -42
2230, 1709826299, "2024/3/7 15:44:59",  -37,  184,  980,  -8,  -3,  8,  -18,  -22,  -42
2355, 1709826299, "2024/3/7 15:44:59",  -74,  173,  973,  0,  -8,  3,  -18,  -22,  -43
2480, 1709826299, "2024/3/7 15:44:59",  -36,  157,  995,  -7,  -8,  -1,  -20,  -21,  -40
2605, 1709826299, "2024/3/7 15:44:59",  -64,  151,  965,  7,  -2,  0,  -19,  -21,  -41
2731, 1709826299, "2024/3/7 15:44:59",  -104,  133,  927,  3,  -3,  4,  -17,  -22,  -40
2856, 1709826300, "2024/3/7 15:45:0",  -51,  208,  1031,  -11,  -13,  1,  -19,  -24,  -39
2981, 1709826300, "2024/3/7 15:45:0",  -87,  139,  994,  -2,  13,  -7,  -21,  -23,  -40
3106, 1709826300, "2024/3/7 15:45:0",  -150,  116,  940,  -6,  24,  -4,  -17,  -18,  -42
3231, 1709826300, "2024/3/7 15:45:0",  -60,  3,  966,  -57,  4,  -15,  -12,  -17,  -42
3356, 1709826300, "2024/3/7 15:45:0",  -62,  -99,  1109,  -17,  29,  -12,  -11,  -10,  -43
3481, 1709826300, "2024/3/7 15:45:0",  -169,  -39,  1000,  12,  78,  -9,  -8,  -13,  -41
3606, 1709826300, "2024/3/7 15:45:0",  -369,  3,  926,  18,  23,  -15,  -2,  -13,  -40
3731, 1709826300, "2024/3/7 15:45:0",  -370,  9,  885,  37,  -12,  -3,  -2,  -15,  -40
3856, 1709826301, "2024/3/7 15:45:1",  -398,  -244,  865,  -27,  -27,  -14,  0,  -14,  -38
3981, 1709826301, "2024/3/7 15:45:1",  -128,  21,  967,  21,  -46,  47,  -6,  -16,  -40
4106, 1709826301, "2024/3/7 15:45:1",  -89,  225,  1059,  -12,  -10,  -37,  -10,  -16,  -40
4231, 1709826301, "2024/3/7 15:45:1",  -170,  -93,  976,  1,  -9,  -13,  -9,  -15,  -41
4356, 1709826301, "2024/3/7 15:45:1",  -132,  -130,  988,  -34,  3,  3,  -6,  -13,  -41
4481, 1709826301, "2024/3/7 15:45:1",  -137,  -61,  981,  -12,  15,  -13,  -9,  -14,  -41
4606, 1709826301, "2024/3/7 15:45:1",  -176,  -113,  982,  -13,  -18,  -1,  -8,  -9,  -40
4731, 1709826301, "2024/3/7 15:45:1",  -82,  -133,  1000,  -14,  -12,  -5,  -10,  -8,  -40
4856, 1709826302, "2024/3/7 15:45:2",  -80,  -209,  997,  -3,  -9,  -4,  -10,  -8,  -40
4981, 1709826302, "2024/3/7 15:45:2",  -9,  -190,  1003,  11,  -6,  3,  -13,  -9,  -39
5106, 1709826302, "2024/3/7 15:45:2",  -52,  -174,  1045,  7,  5,  -6,  -12,  -9,  -39
5231, 1709826302, "2024/3/7 15:45:2",  -1,  -107,  1054,  -12,  2,  -16,  -13,  -8,  -39
5356, 1709826302, "2024/3/7 15:45:2",  -19,  -163,  971,  37,  -24,  -54,  -12,  -9,  -39
5481, 1709826302, "2024/3/7 15:45:2",  -48,  -19,  1019,  15,  -2,  -8,  -12,  -10,  -37
5606, 1709826302, "2024/3/7 15:45:2",  -25,  -33,  936,  29,  2,  -34,  -13,  -13,  -35
