millis,stamp,datetime,accX,accY,accZ,gyroX,gyroY,gyroZ,compX,compY,compZ
181731, 1709823869, "2024/3/7 15:4:29",  -7,  -167,  1071,  -8,  -5,  16,  -38,  25,  -35
181931, 1709823869, "2024/3/7 15:4:29",  -5,  -211,  974,  0,  3,  33,  -34,  24,  -34
182131, 1709823869, "2024/3/7 15:4:29",  -27,  -93,  935,  -6,  1,  13,  -34,  27,  -34
182331, 1709823869, "2024/3/7 15:4:29",  -83,  -159,  971,  -1,  -5,  3,  -32,  27,  -34
182531, 1709823869, "2024/3/7 15:4:29",  -93,  -129,  1004,  1,  2,  -8,  -33,  27,  -34
182731, 1709823870, "2024/3/7 15:4:30",  65,  -202,  1032,  6,  -5,  11,  -35,  28,  -33
182931, 1709823870, "2024/3/7 15:4:30",  45,  -153,  1022,  -5,  1,  34,  -32,  29,  -35
183131, 1709823870, "2024/3/7 15:4:30",  20,  -174,  967,  -10,  -12,  43,  -33,  32,  -34
183331, 1709823870, "2024/3/7 15:4:30",  57,  -135,  1021,  1,  -12,  57,  -28,  34,  -32
183531, 1709823870, "2024/3/7 15:4:30",  53,  -150,  972,  6,  -11,  51,  -23,  37,  -32
183731, 1709823871, "2024/3/7 15:4:31",  88,  -140,  978,  10,  -5,  42,  -20,  36,  -34
183931, 1709823871, "2024/3/7 15:4:31",  76,  -43,  986,  -1,  -10,  20,  -17,  35,  -33
184131, 1709823871, "2024/3/7 15:4:31",  59,  -140,  961,  -5,  -3,  2,  -18,  35,  -33
184331, 1709823871, "2024/3/7 15:4:31",  7,  -187,  975,  -14,  -7,  -8,  -17,  38,  -32
184531, 1709823871, "2024/3/7 15:4:31",  2,  -196,  990,  1,  0,  -2,  -19,  37,  -30
184731, 1709823872, "2024/3/7 15:4:32",  6,  -178,  1011,  -5,  3,  -11,  -19,  37,  -33
184931, 1709823872, "2024/3/7 15:4:32",  59,  -188,  975,  7,  6,  -11,  -20,  36,  -32
