millis,stamp,datetime,accX,accY,accZ,gyroX,gyroY,gyroZ,compX,compY,compZ
2573227, 1710498123, "2024/3/15 10:22:3",  -412,  37,  1025,  49,  27,  3,  21,  5,  -39
2573427, 1710498123, "2024/3/15 10:22:3",  -143,  191,  830,  -6,  -99,  3,  15,  0,  -40
2573627, 1710498124, "2024/3/15 10:22:4",  363,  -26,  925,  -47,  -14,  4,  7,  7,  -44
2573827, 1710498124, "2024/3/15 10:22:4",  -28,  -124,  1014,  4,  119,  5,  15,  11,  -43
2574027, 1710498124, "2024/3/15 10:22:4",  -500,  88,  1064,  10,  -9,  2,  24,  9,  -37
2574227, 1710498124, "2024/3/15 10:22:4",  67,  -40,  947,  -8,  -87,  2,  16,  9,  -42
2574427, 1710498124, "2024/3/15 10:22:4",  231,  -49,  1018,  22,  46,  3,  13,  7,  -43
2574627, 1710498125, "2024/3/15 10:22:5",  -353,  60,  1071,  18,  36,  3,  20,  4,  -39
2574827, 1710498125, "2024/3/15 10:22:5",  -154,  41,  973,  -2,  -72,  3,  18,  3,  -40
2575027, 1710498125, "2024/3/15 10:22:5",  186,  115,  843,  -32,  -21,  3,  10,  5,  -42
2575227, 1710498125, "2024/3/15 10:22:5",  -19,  -68,  815,  -58,  52,  3,  11,  11,  -44
2575427, 1710498125, "2024/3/15 10:22:5",  -250,  -317,  1057,  46,  -4,  1,  18,  15,  -43
2575627, 1710498126, "2024/3/15 10:22:6",  80,  222,  1121,  74,  -8,  1,  14,  3,  -42
2575827, 1710498126, "2024/3/15 10:22:6",  -75,  198,  924,  -42,  38,  2,  16,  2,  -39
2576027, 1710498126, "2024/3/15 10:22:6",  -250,  -180,  919,  -36,  -28,  1,  18,  8,  -41
2576227, 1710498126, "2024/3/15 10:22:6",  112,  -26,  1098,  37,  -31,  1,  12,  5,  -44
2576427, 1710498126, "2024/3/15 10:22:6",  41,  235,  1000,  -29,  46,  1,  14,  5,  -43
2576627, 1710498127, "2024/3/15 10:22:7",  -180,  -84,  835,  -65,  35,  1,  20,  14,  -40
2576827, 1710498127, "2024/3/15 10:22:7",  -221,  -243,  875,  24,  -34,  -2,  20,  16,  -39
2577027, 1710498127, "2024/3/15 10:22:7",  -6,  77,  977,  68,  -62,  -1,  13,  8,  -44
2577227, 1710498127, "2024/3/15 10:22:7",  173,  115,  1171,  7,  19,  1,  10,  0,  -43
2577427, 1710498127, "2024/3/15 10:22:7",  -108,  -41,  1191,  7,  63,  2,  15,  1,  -40
2577627, 1710498128, "2024/3/15 10:22:8",  -230,  82,  1040,  2,  8,  1,  19,  0,  -36
2577827, 1710498128, "2024/3/15 10:22:8",  -149,  88,  804,  -38,  -55,  0,  15,  3,  -39
2578027, 1710498128, "2024/3/15 10:22:8",  110,  -102,  842,  -35,  -41,  1,  11,  8,  -46
2578227, 1710498128, "2024/3/15 10:22:8",  99,  -107,  1056,  34,  53,  1,  10,  8,  -44
2578427, 1710498128, "2024/3/15 10:22:8",  -296,  190,  1088,  6,  21,  0,  16,  4,  -41
2578627, 1710498129, "2024/3/15 10:22:9",  -47,  -83,  980,  -24,  -32,  0,  14,  6,  -43
2578827, 1710498129, "2024/3/15 10:22:9",  13,  -64,  917,  28,  -2,  0,  13,  7,  -41
2579027, 1710498129, "2024/3/15 10:22:9",  -45,  117,  917,  9,  12,  1,  13,  1,  -42
2579227, 1710498129, "2024/3/15 10:22:9",  -78,  -14,  979,  -18,  9,  0,  14,  3,  -41
2579427, 1710498129, "2024/3/15 10:22:9",  -56,  -105,  1021,  23,  7,  0,  16,  6,  -41
2579627, 1710498130, "2024/3/15 10:22:10",  -108,  207,  967,  7,  1,  0,  15,  2,  -40
2579827, 1710498130, "2024/3/15 10:22:10",  -106,  64,  903,  -69,  -28,  0,  16,  5,  -39
2580027, 1710498130, "2024/3/15 10:22:10",  62,  -244,  1007,  -17,  -14,  0,  12,  13,  -45
2580227, 1710498130, "2024/3/15 10:22:10",  18,  -1,  1079,  52,  47,  0,  13,  9,  -43
2580427, 1710498130, "2024/3/15 10:22:10",  -294,  85,  1100,  10,  6,  0,  19,  5,  -40
2580627, 1710498131, "2024/3/15 10:22:11",  -53,  -131,  1076,  36,  -60,  0,  14,  3,  -40
2580827, 1710498131, "2024/3/15 10:22:11",  180,  236,  1022,  25,  21,  1,  10,  -3,  -40
2581027, 1710498131, "2024/3/15 10:22:11",  -209,  146,  870,  -80,  40,  2,  17,  0,  -39
2581227, 1710498131, "2024/3/15 10:22:11",  -211,  -288,  944,  -36,  -49,  0,  15,  10,  -41
2581427, 1710498131, "2024/3/15 10:22:11",  168,  -90,  1088,  71,  -18,  1,  10,  6,  -44
2581627, 1710498132, "2024/3/15 10:22:12",  -75,  294,  1048,  7,  47,  2,  11,  -3,  -40
2581827, 1710498132, "2024/3/15 10:22:12",  -267,  12,  879,  -68,  -20,  1,  14,  4,  -42
2582027, 1710498132, "2024/3/15 10:22:12",  78,  -382,  991,  27,  -48,  0,  8,  7,  -46
2582227, 1710498132, "2024/3/15 10:22:12",  202,  127,  1103,  109,  69,  1,  9,  -4,  -41
2582427, 1710498132, "2024/3/15 10:22:12",  -356,  368,  994,  -35,  56,  2,  16,  -9,  -31
2582627, 1710498133, "2024/3/15 10:22:13",  -262,  -23,  643,  -97,  -72,  1,  15,  -2,  -40
2582827, 1710498133, "2024/3/15 10:22:13",  210,  -199,  725,  -44,  -63,  0,  4,  10,  -47
2583027, 1710498133, "2024/3/15 10:22:13",  201,  -175,  1041,  55,  86,  1,  5,  8,  -46
2583227, 1710498133, "2024/3/15 10:22:13",  -517,  211,  1162,  38,  25,  1,  17,  0,  -40
2583427, 1710498133, "2024/3/15 10:22:13",  -98,  25,  961,  -29,  -108,  0,  10,  2,  -41
2583627, 1710498134, "2024/3/15 10:22:14",  458,  -242,  1085,  51,  29,  2,  1,  1,  -43
2583827, 1710498134, "2024/3/15 10:22:14",  -231,  280,  974,  47,  127,  2,  11,  -8,  -33
2584027, 1710498134, "2024/3/15 10:22:14",  -450,  229,  775,  -83,  -39,  3,  17,  -6,  -31
2584227, 1710498134, "2024/3/15 10:22:14",  20,  -256,  720,  -77,  -104,  1,  7,  6,  -45
2584427, 1710498134, "2024/3/15 10:22:14",  318,  -321,  1019,  74,  14,  2,  -2,  6,  -46
2584627, 1710498135, "2024/3/15 10:22:15",  -225,  339,  1077,  66,  68,  2,  7,  -6,  -39
2584827, 1710498135, "2024/3/15 10:22:15",  -213,  141,  970,  -67,  -35,  3,  9,  -6,  -38
2585027, 1710498135, "2024/3/15 10:22:15",  144,  -281,  960,  -13,  -13,  2,  3,  0,  -44
2585227, 1710498135, "2024/3/15 10:22:15",  -47,  2,  952,  63,  48,  3,  6,  -4,  -40
2585427, 1710498135, "2024/3/15 10:22:15",  -237,  212,  950,  -2,  -9,  2,  10,  -8,  -34
2585627, 1710498136, "2024/3/15 10:22:16",  55,  90,  895,  -59,  -29,  2,  4,  -4,  -40
2585827, 1710498136, "2024/3/15 10:22:16",  74,  -66,  877,  -70,  42,  2,  5,  5,  -44
2586027, 1710498136, "2024/3/15 10:22:16",  -277,  -326,  996,  24,  23,  1,  12,  10,  -45
2586227, 1710498136, "2024/3/15 10:22:16",  -171,  36,  1037,  103,  -71,  0,  8,  0,  -42
2586427, 1710498136, "2024/3/15 10:22:16",  154,  287,  1064,  14,  -33,  1,  0,  -9,  -39
2586627, 1710498137, "2024/3/15 10:22:17",  111,  98,  958,  -65,  59,  2,  2,  -5,  -39
2586827, 1710498137, "2024/3/15 10:22:17",  -255,  -204,  953,  -41,  55,  2,  10,  2,  -44
2587027, 1710498137, "2024/3/15 10:22:17",  -266,  -133,  988,  59,  -57,  0,  10,  2,  -44
2587227, 1710498137, "2024/3/15 10:22:17",  153,  212,  1069,  30,  -44,  1,  3,  -6,  -39
2587427, 1710498137, "2024/3/15 10:22:17",  61,  78,  992,  -35,  44,  2,  3,  -5,  -39
2587627, 1710498138, "2024/3/15 10:22:18",  -238,  -62,  918,  -38,  23,  1,  8,  1,  -42
2587827, 1710498138, "2024/3/15 10:22:18",  -163,  -170,  1007,  22,  -56,  0,  7,  3,  -43
