millis,stamp,datetime,accX,accY,accZ
24806, 1706974729, "2024/2/3 15:38:49",  21,  19,  1007
25056, 1706974729, "2024/2/3 15:38:49",  18,  11,  1003
25306, 1706974729, "2024/2/3 15:38:49",  18,  18,  1003
25556, 1706974730, "2024/2/3 15:38:50",  15,  12,  1004
25806, 1706974730, "2024/2/3 15:38:50",  19,  18,  1005
26056, 1706974730, "2024/2/3 15:38:50",  22,  13,  1004
26306, 1706974730, "2024/2/3 15:38:50",  22,  20,  1001
26556, 1706974731, "2024/2/3 15:38:51",  16,  19,  1006
26806, 1706974731, "2024/2/3 15:38:51",  20,  19,  1003
27056, 1706974731, "2024/2/3 15:38:51",  18,  21,  1003
27307, 1706974731, "2024/2/3 15:38:51",  19,  13,  1005
27557, 1706974732, "2024/2/3 15:38:52",  13,  16,  1004
27807, 1706974732, "2024/2/3 15:38:52",  17,  20,  1003
28057, 1706974732, "2024/2/3 15:38:52",  16,  12,  1003
28307, 1706974732, "2024/2/3 15:38:52",  22,  11,  1003
28557, 1706974733, "2024/2/3 15:38:53",  20,  16,  1005
28807, 1706974733, "2024/2/3 15:38:53",  16,  13,  1006
29057, 1706974733, "2024/2/3 15:38:53",  18,  20,  1003
29307, 1706974733, "2024/2/3 15:38:53",  17,  20,  1002
29557, 1706974734, "2024/2/3 15:38:54",  15,  20,  1003
29807, 1706974734, "2024/2/3 15:38:54",  19,  14,  1006
30057, 1706974734, "2024/2/3 15:38:54",  21,  10,  1005
30307, 1706974734, "2024/2/3 15:38:54",  16,  14,  1003
30557, 1706974735, "2024/2/3 15:38:55",  16,  18,  1005
30807, 1706974735, "2024/2/3 15:38:55",  23,  12,  1006
31057, 1706974735, "2024/2/3 15:38:55",  19,  18,  1002
31307, 1706974735, "2024/2/3 15:38:55",  20,  19,  1002
31557, 1706974736, "2024/2/3 15:38:56",  20,  15,  1004
31807, 1706974736, "2024/2/3 15:38:56",  18,  18,  1004
32057, 1706974736, "2024/2/3 15:38:56",  18,  11,  1002
32307, 1706974736, "2024/2/3 15:38:56",  20,  13,  1002
32557, 1706974737, "2024/2/3 15:38:57",  18,  18,  1004
32807, 1706974737, "2024/2/3 15:38:57",  20,  19,  1002
33057, 1706974737, "2024/2/3 15:38:57",  19,  13,  1000
33307, 1706974737, "2024/2/3 15:38:57",  13,  13,  1004
33557, 1706974738, "2024/2/3 15:38:58",  19,  18,  1006
33807, 1706974738, "2024/2/3 15:38:58",  23,  14,  1000
34057, 1706974738, "2024/2/3 15:38:58",  20,  19,  1003
34307, 1706974738, "2024/2/3 15:38:58",  18,  11,  1003
34557, 1706974739, "2024/2/3 15:38:59",  20,  12,  1005
34807, 1706974739, "2024/2/3 15:38:59",  21,  18,  1004
35057, 1706974739, "2024/2/3 15:38:59",  20,  20,  1002
35307, 1706974739, "2024/2/3 15:38:59",  22,  14,  1001
35557, 1706974740, "2024/2/3 15:39:0",  20,  19,  1007
35807, 1706974740, "2024/2/3 15:39:0",  17,  13,  1002
36057, 1706974740, "2024/2/3 15:39:0",  16,  14,  1001
36307, 1706974740, "2024/2/3 15:39:0",  17,  17,  1002
36557, 1706974741, "2024/2/3 15:39:1",  18,  20,  1004
36807, 1706974741, "2024/2/3 15:39:1",  19,  14,  1002
37057, 1706974741, "2024/2/3 15:39:1",  18,  11,  1007
37307, 1706974741, "2024/2/3 15:39:1",  16,  16,  1001
37557, 1706974742, "2024/2/3 15:39:2",  16,  8,  1001
37807, 1706974742, "2024/2/3 15:39:2",  18,  14,  1005
38057, 1706974742, "2024/2/3 15:39:2",  19,  14,  1003
38307, 1706974742, "2024/2/3 15:39:2",  21,  15,  1004
38557, 1706974743, "2024/2/3 15:39:3",  12,  19,  1006
38807, 1706974743, "2024/2/3 15:39:3",  15,  14,  1007
39057, 1706974743, "2024/2/3 15:39:3",  18,  16,  1002
39307, 1706974743, "2024/2/3 15:39:3",  19,  15,  1005
39557, 1706974744, "2024/2/3 15:39:4",  16,  11,  1004
39808, 1706974744, "2024/2/3 15:39:4",  15,  16,  1001
40058, 1706974744, "2024/2/3 15:39:4",  20,  10,  1008
40308, 1706974744, "2024/2/3 15:39:4",  25,  22,  1001
40558, 1706974745, "2024/2/3 15:39:5",  19,  10,  1004
40808, 1706974745, "2024/2/3 15:39:5",  19,  19,  1002
41058, 1706974745, "2024/2/3 15:39:5",  17,  17,  1006
41308, 1706974745, "2024/2/3 15:39:5",  20,  8,  1002
41558, 1706974746, "2024/2/3 15:39:6",  18,  17,  1004
41808, 1706974746, "2024/2/3 15:39:6",  19,  12,  1002
42058, 1706974746, "2024/2/3 15:39:6",  20,  10,  1009
42308, 1706974746, "2024/2/3 15:39:6",  18,  22,  993
42558, 1706974747, "2024/2/3 15:39:7",  17,  19,  1002
42808, 1706974747, "2024/2/3 15:39:7",  19,  18,  1001
43058, 1706974747, "2024/2/3 15:39:7",  27,  16,  1004
43308, 1706974747, "2024/2/3 15:39:7",  25,  15,  1006
43558, 1706974748, "2024/2/3 15:39:8",  20,  13,  1002
43808, 1706974748, "2024/2/3 15:39:8",  22,  9,  1007
44058, 1706974748, "2024/2/3 15:39:8",  18,  17,  1005
44308, 1706974748, "2024/2/3 15:39:8",  18,  15,  1002
44558, 1706974749, "2024/2/3 15:39:9",  19,  17,  1005
44808, 1706974749, "2024/2/3 15:39:9",  19,  20,  1001
45058, 1706974749, "2024/2/3 15:39:9",  18,  14,  1007
45308, 1706974749, "2024/2/3 15:39:9",  24,  10,  1004
45558, 1706974750, "2024/2/3 15:39:10",  19,  12,  1005
45808, 1706974750, "2024/2/3 15:39:10",  20,  9,  1003
46058, 1706974750, "2024/2/3 15:39:10",  20,  10,  1003
46308, 1706974750, "2024/2/3 15:39:10",  22,  11,  1004
46558, 1706974751, "2024/2/3 15:39:11",  21,  15,  1003
46808, 1706974751, "2024/2/3 15:39:11",  23,  15,  1005
47058, 1706974751, "2024/2/3 15:39:11",  19,  19,  1003
47308, 1706974751, "2024/2/3 15:39:11",  15,  17,  1004
47558, 1706974752, "2024/2/3 15:39:12",  18,  18,  1003
47808, 1706974752, "2024/2/3 15:39:12",  20,  12,  1005
48058, 1706974752, "2024/2/3 15:39:12",  20,  16,  1005
48308, 1706974752, "2024/2/3 15:39:12",  21,  13,  1003
48558, 1706974753, "2024/2/3 15:39:13",  18,  15,  1003
48808, 1706974753, "2024/2/3 15:39:13",  24,  19,  1003
49058, 1706974753, "2024/2/3 15:39:13",  20,  16,  1004
49308, 1706974753, "2024/2/3 15:39:13",  22,  17,  1004
49558, 1706974754, "2024/2/3 15:39:14",  16,  16,  1004
49808, 1706974754, "2024/2/3 15:39:14",  22,  20,  1004
50058, 1706974754, "2024/2/3 15:39:14",  21,  13,  1006
50308, 1706974754, "2024/2/3 15:39:14",  20,  12,  1004
50558, 1706974755, "2024/2/3 15:39:15",  21,  17,  1003
50808, 1706974755, "2024/2/3 15:39:15",  20,  17,  1002
51058, 1706974755, "2024/2/3 15:39:15",  20,  21,  1003
51308, 1706974755, "2024/2/3 15:39:15",  19,  22,  1004
51558, 1706974756, "2024/2/3 15:39:16",  18,  20,  1003
51808, 1706974756, "2024/2/3 15:39:16",  19,  21,  1006
52058, 1706974756, "2024/2/3 15:39:16",  21,  19,  1003
52308, 1706974756, "2024/2/3 15:39:16",  17,  12,  1002
52558, 1706974757, "2024/2/3 15:39:17",  21,  17,  1005
52808, 1706974757, "2024/2/3 15:39:17",  20,  20,  1005
53058, 1706974757, "2024/2/3 15:39:17",  17,  15,  1005
53308, 1706974757, "2024/2/3 15:39:17",  18,  17,  1005
53558, 1706974758, "2024/2/3 15:39:18",  22,  15,  1001
53808, 1706974758, "2024/2/3 15:39:18",  20,  16,  1004
54059, 1706974758, "2024/2/3 15:39:18",  20,  14,  1005
54309, 1706974758, "2024/2/3 15:39:18",  19,  13,  1002
54559, 1706974759, "2024/2/3 15:39:19",  17,  11,  1006
54809, 1706974759, "2024/2/3 15:39:19",  21,  14,  1003
55059, 1706974759, "2024/2/3 15:39:19",  24,  9,  1005
55309, 1706974759, "2024/2/3 15:39:19",  24,  13,  1005
